SPONSOR,CATEGORY,SPONSOR_TYPE,PROGRAMMING,LINK,LOGO,GIVING_STATUS_CURRENT
Alzheimer's Association ,3,On-Air Sponsor,BrainWorks,https://www.alz.org/sanantonio,Alzheimers-Association.png,Y
BASIS San Antonio Northeast,2,On-Air Sponsor,Children & Family,https://www.basised.com/san-antonio-northeast/,BASIS-San-Antonio-Northeast.png,Y 
Cantwell Mattress ,1,On-Air Sponsor,Masterpiece,https://www.cantwellmattress.com/,cantwell.png,Y 
Charles Butt,1,On-Air Sponsor,PBS NewsHour,,charles-butt.png,Y 
Climate Reality Project ,3,On-Air Sponsor,Age of Nature ,https://climaterealityproject.org/,Climate-Reality-Project.png,Y
CPS Energy,2,Education Sponsor,SciGirls,https://www.cpsenergy.com/en.html,cpsenergy.png,Y
Dixie Flag and Banner,3,On-Air Sponsor,4th of July,https://www.dixieflag.com/store/catalog,Dixie-Flag-Banner.png,Y
Firstmark Credit Union ,1,On-Air Sponsor,ROS,https://www.firstmarkcu.org/,Firstmark.png,Y
Frost Bank,2,Event Sponsor,Blazing Gavels Auction,https://www.ewinghalsell.org/,frostbank.png,Y
Generations Federal Credit Union ,3,On-Air Sponsor,KLRN Programming,https://www.mygenfcu.org/,,N
Go Public,1,Education Sponsor,Training and TV programs,https://wegopublic.com/,Go-Public.png,Y
Jessie Carolyn Brown Foundation ,1,On-Air Sponsor,Arts Programming,,Jessie-Carolyn-Brown.png ,Y 
KRTU 97.1 FM ,3,On-Air Sponsor,KLRN Programming,https://krtu.trinity.edu/,krtu.png,N
Law Offices of Carol Bertsch,2,On-Air Sponsor,KLRN Programming,https://www.assistingseniors.com/,Law-Offices-Carol-Bertsch.png,Y
Majestic Theatre,2,On-Air Sponsor,Arts Programming,https://www.majesticempire.com/,majestic.png,N
Mind Science ,2,On-Air Sponsor,KLRN Programming,https://mindscience.org/,Mind-Science.png,Y
Montessori School of San Antonio ,1,On-Air Sponsor,Children & Family ,https://www.montessorisa.org/,Montessori-School.png,Y 
Our Kids Magazine ,1,On-Air Sponsor,Children’s Programming,http://www.ourkidsmagazine.com/,ourkids.png,Y
Patty's Sewing Center ,1,On-Air Sponsor,Sewing & Quilting,https://www.pattyssewingcenter.com/,pattysc.png,Y
Pay It Forward ,3,On-Air Sponsor,4th July & Frontline,https://payitforwardsa.org/,,N
Pre-K 4 SA,2,On-Air Sponsor,News Updates ,https://prek4sa.com/,Pre-K-4-SA.png,Y
Randolph Brooks Federal Credit Union,2,Event Sponsor,Blazing Gavels Auction,https://www.rbfcu.org/,rbfcu.png,Y
San Antonio Business Journal ,3,Event Sponsor,News & Primetime ,https://www.bizjournals.com/sanantonio/,sabj.png,N
San Antonio Chamber of Commerce,2,Event Sponsor,Blazing Gavels Auction,https://www.sach1ber.org/,,N
San Antonio Express News ,1,Event Sponsor,Major Donor Event ,https://www.mysanantonio.com/,,N
San Antonio Magazine,1,On-Air Sponsor,KLRN Programming,https://www.sanantoniomag.com/,s1ag.png,N
San Antonio Report ,3,On-Air Sponsor,KLRN Programming,https://sanantonioreport.org/,San-Antonio-Report.png,Y
San Antonio River Authority ,3,On-Air Sponsor,KLRN Programming,https://www.sariverauthority.org/,San-Antonio-River-Authority.png,Y
Sherlock Homes,3,On-Air Sponsor,"Mystery shows, NewsHour",https://sherlockhomesac.tech/,,N
Texas Children's Hospital,1,On-Air Sponsor,Think Wednesday,https://www.texaschildrens.org/,tch.png,N
Texas Mutual Insurance Company ,1,On-Air Sponsor,News Programming,https://www.texasmutual.com/,txmutual.png,Y
Texas Public Radio,1,On-Air Sponsor,KLRN Programming,https://www.tpr.org/,Texas-Public-Radio.png,Y
The Carver,3,On-Air Sponsor,Arts Programming,https://thecarver.org/,,N
The Ewing Halsell Foundation ,1,On-Air Sponsor,Nature & NOVA,https://www.ewinghalsell.org/,ewing-halsell.png,Y 
The Jesse H. & Susan R. Oppenheimer Foundation,1,On-Air Sponsor,PBS NewsHour,,oppenheimer.png,Y 
The Lee Wilson McMullan Fund of the San Antonio Area Foundation ,1,On-Air Sponsor,Curious George,,mcmullan.png,Y 
The Public Theater,3,On-Air Sponsor,KLRN Programming,http://www.thepublicsa.org/,public.png,N
The Russell Hill Rogers Fund for the Arts,1,On-Air Sponsor,Arts Performances ,https://russellhillrogers.wixsite.com/fundforthearts,rhr.png,Y
The William & Salomé Scanlan Foundation,1,On-Air Sponsor,PBS NewsHour,,scanlan.png,Y
Tobin Center for the Performing Arts ,3,On-Air Sponsor,Arts Performances ,https://www.tobincenter.org/,,Y
Trinity Glen Rose Conservation ,3,On-Air Sponsor,KLRN Programming,https://www.trinityglenrose.com/,Trinity-Glen-Rose-Conservation.png,Y
Twin Liquors ,1,On-Air Sponsor,Primetime Programming,https://twinliquors.com/,Twin-Liquors.png ,Y
University Health System,1,On-Air Sponsor,Primetime Programming,https://www.universityhealthsystem.com/,uhs.png,Y
USAA,1,Event Sponsor,Blazing Gavels Auction,https://www.usaa.com/inet/ent_logon/Logon,usaa.png,Y
Valero ,1,Event Sponsor,Blazing Gavels Auction,https://www.valero.com/en-us,valero.png,Y
VIA Metropolitan Transit,1,On-Air Sponsor,Primetime Programming,https://www.viainfo.net/,VIA-Metropolitan-Transit.png,Y
Vogt Auction,3,On-Air Sponsor,KLRN Programming,https://vogtauction.com/,,N
